primaryKey,genre,popularity,year,revenue,runtime,vote_average,vote_count
The Twilight Saga: Breaking Dawn - Part 2,Adventure,99.687084,12,829000000,115,6.1,2553
Ice Age,Animation,99.561972,2,383257136,81,7.1,3857
Thor: The Dark World,Action,99.499595,13,644571402,112,6.8,4755
Man of Steel,Action,99.398009,13,662845518,143,6.5,6359
Harry Potter and the Half-Blood Prince,Adventure,98.885637,9,933959197,153,7.4,5293
Fifty Shades of Grey,Drama,98.755657,15,571006128,125,5.2,3254
12 Years a Slave,Drama,95.9229,13,187000000,134,7.9,3674
"I, Robot",Action,95.914473,4,347234916,115,6.7,3793
Gladiator,Action,95.301296,0,457640427,155,7.9,5439
Ex Machina,Drama,95.130041,15,36869414,108,7.6,4737
The Wolf of Wall Street,Crime,95.007934,13,392000694,180,7.9,6571
The Twilight Saga: New Moon,Adventure,94.815867,9,709827462,130,5.6,2436
The Hobbit: The Desolation of Smaug,Adventure,94.370564,13,958400000,161,7.6,4524
The Jungle Book,Family,94.199316,16,966550600,106,6.7,2892
Alien,Horror,94.184658,79,104931801,117,7.9,4470
Blade Runner,Science Fiction,94.056131,82,33139618,117,7.9,3509
Psycho,Drama,93.067866,60,32000000,109,8.2,2320
Skyfall,Action,93.004993,12,1108561013,143,6.9,7604
Aladdin,Animation,92.982009,92,504050219,90,7.4,3416
Up,Animation,92.201962,9,735099082,96,7.7,6870
Men in Black II,Action,91.332849,2,441818803,88,6,3114
Black Swan,Drama,91.285683,10,327803731,108,7.3,4430
Pan's Labyrinth,Fantasy,90.809408,6,83258226,118,7.6,3041
The Lion King,Family,90.457886,94,788241776,89,8,5376
The Bourne Legacy,Action,90.33681,12,276572938,120,6,2651
Suicide Squad,Action,90.23792,16,745000000,123,5.9,7458
The Adventures of Tintin,Adventure,89.938296,11,371940071,107,6.7,2061
The Amazing Spider-Man,Action,89.866276,12,752215857,136,6.5,6586
Birdman,Drama,89.811154,14,103215094,119,7.4,4535
The Amazing Spider-Man 2,Action,89.270217,14,705717432,142,6.5,4179
Monsters University,Animation,89.186492,13,743559607,104,7,3528
Nightcrawler,Crime,89.095538,14,38697217,117,7.6,3395
Casino Royale,Adventure,88.935165,6,599045960,144,7.3,3855
Taken 3,Thriller,88.844777,14,325771424,109,6.1,2200
Prisoners,Drama,88.496873,13,122126687,153,7.9,3085
"The Good, the Bad and the Ugly",Western,88.377076,66,6000000,161,8.1,2311
American Sniper,War,87.53437,14,542307423,133,7.4,4469
A Bug's Life,Adventure,87.350802,98,363258859,95,6.8,2303
Thor,Adventure,86.493424,11,449326618,115,6.6,6525
The Bourne Identity,Action,86.476817,2,214034224,119,7.3,3583
2001: A Space Odyssey,Science Fiction,86.201184,68,68700000,149,7.9,2998
Allegiant,Adventure,86.105615,16,179246868,121,5.9,1998
Finding Nemo,Animation,85.688789,3,940335536,100,7.6,6122
Sin City: A Dame to Kill For,Crime,85.428395,14,39407616,102,6.3,1286
Jupiter Ascending,Science Fiction,85.36908,15,183987723,124,5.2,2768
The Mask,Romance,85.30318,94,351583407,101,6.6,2472
Ice Age: The Meltdown,Animation,85.115058,6,660940780,91,6.5,2951
Kung Fu Panda,Adventure,84.689648,8,631744560,90,6.9,3145
V for Vendetta,Action,84.630969,6,132511035,132,7.7,4442
Penguins of Madagascar,Family,84.366984,14,373552094,92,6.5,1346
The Devil Wears Prada,Comedy,83.893257,6,326551094,109,7,3088
Non-Stop,Action,83.295796,14,222809600,106,6.8,2268
The Purge: Anarchy,Horror,82.975841,14,108782847,104,6.6,1954
Cars,Animation,82.643036,6,461983149,117,6.6,3877
Spider-Man,Fantasy,82.502566,2,821708551,121,6.8,5265
The Hangover,Comedy,82.21166,9,459270619,100,7.2,6173
Horrible Bosses 2,Comedy,82.185281,14,107670357,108,6.1,1536
Django Unchained,Drama,82.121691,12,425368238,165,7.8,10099
The Age of Adaline,Fantasy,82.052056,15,65663276,112,7.4,1990
Shutter Island,Drama,81.914696,10,294804195,138,7.8,6336
World War Z,Action,81.834855,13,531865000,116,6.7,5560
Underworld,Fantasy,81.829237,3,95708457,121,6.6,2512
Night at the Museum: Battle of the Smithsonian,Adventure,81.781591,9,413106170,105,5.9,1971
Sherlock Holmes: A Game of Shadows,Adventure,81.499621,11,334615000,129,7,3886
Home Alone 2: Lost in New York,Comedy,81.487685,92,358991681,120,6.3,2395
Indiana Jones and the Last Crusade,Adventure,80.972475,89,474171806,127,7.6,3152
Taken,Action,80.879032,8,226830568,93,7.2,4369
American Beauty,Drama,80.878605,99,356296601,122,7.9,3313
The Pursuit of Happyness,Drama,80.581367,6,307077295,117,7.7,2525
Divergent,Adventure,80.316463,14,288747895,139,6.9,4663
Snow White and the Seven Dwarfs,Fantasy,80.171283,37,184925486,83,6.9,1914
The Equalizer,Thriller,79.922059,14,192330738,132,7.1,2954
Kill Bill: Vol. 1,Action,79.754966,3,180949000,111,7.7,4949
Harry Potter and the Prisoner of Azkaban,Adventure,79.679601,4,789804554,141,7.7,5877
Se7en,Crime,79.579532,95,327311859,127,8.1,5765
Edge of Tomorrow,Action,79.456485,14,370541256,113,7.6,4858
The Shining,Horror,78.699993,80,44017374,144,8.1,3757
Alice in Wonderland,Family,78.530105,10,1025491110,108,6.4,4645
The Empire Strikes Back,Adventure,78.51783,80,538400000,124,8.2,5879
Star Trek Into Darkness,Action,78.291018,13,467365246,132,7.4,4418
Harry Potter and the Order of the Phoenix,Adventure,78.144395,7,938212738,138,7.4,5494
The Incredibles,Action,77.817571,4,631442092,115,7.4,5152
Mission: Impossible - Ghost Protocol,Action,77.77477,11,694713380,133,6.8,3972
Iron Man 3,Action,77.68208,13,1215439994,130,6.8,8806
The Expendables,Thriller,77.580661,10,274470394,103,6,2926
Iron Man 2,Adventure,77.300194,10,623933331,124,6.6,6849
Snow White and the Huntsman,Adventure,77.178973,12,396600000,127,5.8,3118
Hercules,Action,76.842247,14,243400000,99,5.6,1680
Ocean's Twelve,Thriller,76.840712,4,362744280,125,6.4,2124
Back to the Future,Adventure,76.603233,85,381109762,116,8,6079
The Hunger Games: Catching Fire,Adventure,76.310119,13,847423452,146,7.4,6495
Saving Private Ryan,Drama,76.041867,98,481840909,169,7.9,5048
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,75.674458,8,786636033,122,5.7,2495
Mission: Impossible,Adventure,75.290998,96,457696359,110,6.7,2631
About Time,Comedy,74.817641,13,87100449,123,7.8,2067
Run All Night,Action,74.64653,15,71561644,114,6.3,1148
Captain America: The First Avenger,Action,74.506246,11,370569774,124,6.6,7047
The Prestige,Drama,74.440708,6,109676311,130,8,4391
The Grand Budapest Hotel,Comedy,74.417456,14,174600318,99,8,4519
The Fault in Our Stars,Romance,74.358971,14,307166834,125,7.6,3759
The Terminator,Action,74.234793,84,78371200,108,7.3,4128
The Interview,Action,74.168016,14,12342632,112,6.1,2304
The Cabin in the Woods,Horror,73.987775,12,66486080,95,6.5,2263
Catch Me If You Can,Drama,73.944049,2,352114312,141,7.7,3795
Cloud Atlas,Drama,73.872343,12,130482868,172,6.6,2977
Wanted,Action,73.82289,8,258270008,110,6.4,2528
TRON: Legacy,Adventure,73.79505,10,400062763,125,6.3,2841
Amí©lie,Comedy,73.720244,1,173921954,122,7.8,3310
Toy Story,Animation,73.640445,95,373554033,81,7.7,5269
Star Trek,Science Fiction,73.616808,9,385680446,127,7.4,4518
Toy Story 2,Animation,73.575118,99,497366869,92,7.3,3806
American History X,Drama,73.567232,98,23875127,119,8.2,3016
The Matrix Revolutions,Adventure,73.313918,3,424988211,129,6.4,3096
The Butterfly Effect,Science Fiction,73.307513,4,96060858,113,7.3,2060
The Sixth Sense,Mystery,73.085576,99,672806292,107,7.7,3147
Trainwreck,Comedy,72.774941,15,140795793,125,5.9,1181
Sex Tape,Comedy,72.641296,14,126069509,97,5.3,1695
Inglourious Basterds,Drama,72.595961,9,319131050,153,7.9,6430
Captain America: The Winter Soldier,Action,72.225265,14,714766572,136,7.6,5764
Rocky,Drama,72.19808,76,117235147,119,7.5,1791
Terminator Salvation,Action,71.862892,9,371353001,115,5.9,2463
300: Rise of an Empire,Action,71.510596,14,337580051,102,6.1,2397
Pitch Perfect 2,Comedy,71.496894,15,287506194,115,6.8,1940
Now You See Me,Thriller,71.124686,13,117698894,115,7.3,5487
I Am Legend,Drama,70.867401,7,585349010,101,6.9,4853
The Matrix Reloaded,Adventure,70.78591,3,738599701,138,6.7,3443
Let's Be Cops,Comedy,70.668923,14,136621271,104,6.4,1219
Million Dollar Baby,Drama,70.456012,4,216763646,132,7.7,2439
Gattaca,Thriller,70.398356,97,12532777,106,7.5,1808
Scarface,Action,70.105981,83,65884703,170,8,2948
Ice Age: Dawn of the Dinosaurs,Animation,69.457898,9,886686817,94,6.5,2271
Terminator 3: Rise of the Machines,Action,69.405188,3,435000000,109,5.9,2143
The Social Network,Drama,69.27822,10,224920315,120,7.1,3391
Prometheus,Science Fiction,68.889395,12,403170142,124,6.3,5080
Ted,Comedy,68.87691,12,549368315,106,6.3,4697
The Conjuring 2,Horror,68.794673,16,320170008,134,7,1949
Megamind,Animation,68.757242,10,321887208,95,6.7,1918
Ted 2,Comedy,68.734513,15,217022588,115,6.2,2463
The Hateful Eight,Crime,68.717016,15,155760117,167,7.6,4274
The Hunger Games,Science Fiction,68.550698,12,691210692,142,6.9,9455
Raiders of the Lost Ark,Adventure,68.159596,81,389925971,115,7.7,3854
Apollo 13,Drama,68.140214,95,355237933,140,7.3,1599
Dumb and Dumber To,Comedy,67.767785,14,169837010,110,5.4,1127
Oblivion,Action,67.698004,13,286168572,124,6.4,4800
Aliens,Horror,67.66094,86,183316455,137,7.7,3220
Grease,Romance,67.608041,78,181813770,110,7.2,1581
Angels & Demons,Thriller,67.447636,9,356613439,138,6.5,2129
Mulan,Animation,67.427755,98,304320254,88,7.6,2008
The Wizard of Oz,Adventure,67.417542,39,33754967,102,7.4,1642
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,67.391328,5,748806957,143,6.7,2629
Elysium,Science Fiction,67.33767,13,286140700,109,6.4,3439
Shrek,Adventure,67.298732,1,484409218,90,7.3,4056
How to Train Your Dragon,Fantasy,67.263269,10,494878759,98,7.5,4227
Blade II,Fantasy,67.169587,2,155010032,117,6.2,1528
Indiana Jones and the Temple of Doom,Adventure,66.976776,84,333000000,118,7.1,2781
Reservoir Dogs,Crime,66.925866,92,14661007,99,8,3697
Troy,Adventure,66.803149,4,497409852,163,6.9,2759
RoboCop,Action,66.757869,14,242688965,102,5.7,2342
WALLŚ‡E,Animation,66.390712,8,521311860,98,7.8,6296
Sausage Party,Adventure,66.242737,16,140752617,83,5.6,2238
Ghostbusters,Action,66.21806,16,229147509,116,5.3,2142
Die Hard,Action,66.169628,88,140767956,131,7.5,3948
Room,Drama,66.11334,15,35401758,117,8.1,2757
Self/less,Science Fiction,66.097437,15,30523226,116,6.3,1091
Sin City,Action,66.003433,5,158733820,124,7.2,2691
Minority Report,Action,65.948959,2,358372926,145,7.1,2608
Into the Woods,Fantasy,65.90161,14,212902372,125,5.6,1652
Ratatouille,Animation,65.677399,7,623722818,111,7.5,4369
A Good Day to Die Hard,Action,65.402595,13,304654182,98,5.2,3493
Southpaw,Action,65.364452,15,91709827,123,7.3,2067
Star Trek Beyond,Action,65.352913,16,343471816,122,6.6,2568
Ice Age: Continental Drift,Animation,65.229868,12,877244782,88,6.2,2672
300,Action,65.197968,6,422610419,117,7,4997
Battleship,Thriller,64.928382,12,303025485,131,5.5,2114
Watchmen,Action,64.798873,9,185258983,163,7,2811
Monty Python and the Holy Grail,Adventure,64.782984,75,5028948,91,7.8,1708
Paper Towns,Drama,64.610671,15,85512300,109,6.1,1937
Chronicle,Science Fiction,64.504747,12,145000000,84,6.6,1935
Dracula Untold,Horror,64.457947,14,215529201,92,6.2,2389
Snowpiercer,Action,64.238688,13,86758912,126,6.7,2854
The Croods,Adventure,64.183321,13,585178928,98,6.8,2399
From Dusk Till Dawn,Horror,64.181668,96,25836616,108,6.9,1603
The Usual Suspects,Drama,64.025031,95,23341568,106,8.1,3254
Carrie,Drama,63.848541,13,82394288,100,5.8,1463
Saw,Horror,63.655973,4,103911669,103,7.2,2184
GoodFellas,Drama,63.654244,90,46836394,145,8.2,3128
Seventh Son,Adventure,63.628459,14,114178613,102,5.2,957
Silver Linings Playbook,Drama,63.599973,12,205738714,122,6.9,4742
Trainspotting,Drama,63.513324,96,16491080,93,7.8,2655
Home,Fantasy,63.473086,15,368871007,94,6.8,1519
The Departed,Drama,63.429157,6,289847354,151,7.9,4339
Warcraft,Action,63.148529,16,433677183,123,6.3,2268
District 9,Science Fiction,63.13678,9,210819611,112,7.3,3382
Mission: Impossible III,Adventure,63.079003,6,397850012,126,6.5,2028
First Blood,Action,63.071046,82,125212904,93,7.2,1488
Nerve,Mystery,62.933899,16,83707310,96,7.1,2181
The Game,Drama,62.925175,97,109423648,129,7.5,1506
The Incredible Hulk,Science Fiction,62.898336,8,163712074,114,6.1,3021
The Italian Job,Action,62.766854,3,176070171,110,6.6,1919
21 Jump Street,Action,62.714026,12,201585328,109,6.7,4074
Jason Bourne,Action,62.641286,16,415484914,123,5.9,2341
Spring Breakers,Drama,62.554173,13,31724284,94,5,1551
The Princess and the Frog,Romance,62.479574,9,267045765,97,6.7,1247
Wreck-It Ralph,Family,62.341073,12,471222889,108,7.1,4570
Prince of Persia: The Sands of Time,Adventure,62.169881,10,335154643,116,6.2,2317
Argo,Drama,62.01056,12,232324128,120,7.1,3423
London Has Fallen,Action,61.849521,16,205754447,99,5.8,1621
Rise of the Guardians,Fantasy,61.788035,12,306941670,97,7.1,1922
Straight Outta Compton,Drama,61.76233,15,201634991,147,7.7,1355
Hotel Transylvania 2,Animation,61.692197,15,473226958,89,6.7,1497
50 First Dates,Comedy,61.437586,4,196482882,99,6.6,2105
A Walk Among the Tombstones,Crime,61.309619,14,53181600,113,6.2,1131
The Iron Giant,Adventure,61.245957,99,23159305,86,7.6,1436
King Kong,Adventure,61.22601,5,550000000,187,6.6,2337
Donnie Darko,Fantasy,61.210016,1,1270522,113,7.7,3452
The Great Gatsby,Drama,61.196071,13,351040419,143,7.3,3769
The Theory of Everything,Drama,61.182331,14,123726688,123,7.8,3311
Percy Jackson & the Olympians: The Lightning Thief,Adventure,61.121717,10,226497209,118,6,2010
The Expendables 3,Action,61.025639,14,206172544,127,6.1,1795
Ocean's Eleven,Thriller,60.929352,1,450717150,116,7.2,3783
The Shallows,Horror,60.829621,16,119100758,86,6.2,1567
Fantastic 4: Rise of the Silver Surfer,Adventure,60.810723,7,289047763,92,5.4,2589
American Pie,Comedy,60.767168,99,235483004,95,6.4,2296
Princess Mononoke,Adventure,60.732738,97,159375308,134,8.2,1983
Braveheart,Action,60.722162,95,210000000,177,7.7,3336
Memento,Mystery,60.715151,0,39723096,113,8.1,4028
The Huntsman: Winter's War,Action,60.467984,16,164602163,114,6,1523
Independence Day,Action,60.442593,96,816969268,145,6.7,3260
The Curious Case of Benjamin Button,Fantasy,60.269279,8,333932083,166,7.3,3292
Everest,Adventure,60.246978,15,203427584,121,6.7,1772
In Time,Action,60.231382,11,173930596,109,6.7,3417
Annabelle,Horror,60.225219,14,255273813,99,5.6,1517
The Mummy: Tomb of the Dragon Emperor,Adventure,60.034162,8,401128639,112,5.2,1387
Toy Story 3,Animation,59.995418,10,1066969703,103,7.6,4597
Mary Poppins,Comedy,59.961523,64,102272727,139,7.4,1183
GoldenEye,Adventure,59.824565,95,352194034,130,6.6,1174
Focus,Romance,59.634029,15,153962963,105,6.7,2542
The Lego Movie,Adventure,59.547928,14,469160692,100,7.5,3070
Dallas Buyers Club,Drama,59.454473,13,55198285,117,7.9,2886
Olympus Has Fallen,Action,59.428223,13,161025640,120,6.2,2981
G.I. Joe: Retaliation,Adventure,59.325589,13,371876278,110,5.4,3025
12 Angry Men,Drama,59.259204,57,1000000,96,8.2,2078
Slumdog Millionaire,Drama,59.258969,8,377910544,120,7.6,2827
A Beautiful Mind,Drama,59.248437,1,313542341,135,7.7,3009
Source Code,Thriller,59.19888,11,147332697,93,7.1,2699
The Godfather: Part III,Crime,59.194915,90,136766062,162,7.1,1546
Batman Returns,Action,59.113174,92,280000000,126,6.6,1673
Transcendence,Thriller,58.991388,14,103039258,119,5.9,2295
Top Gun,Action,58.900647,86,356830601,110,6.7,1698
National Treasure,Adventure,58.849256,4,347451894,131,6.4,1926
Taxi Driver,Crime,58.845025,76,28262574,114,8,2535
Starship Troopers,Adventure,58.782359,97,121214377,129,6.7,1560
Insidious,Horror,58.594852,10,97009150,103,6.8,1737
Hellboy II: The Golden Army,Adventure,58.57976,8,160388063,120,6.5,1527
Beetlejuice,Fantasy,58.553213,88,73326666,92,7.1,1444
Armageddon,Action,58.485967,98,553799566,151,6.4,2482
Underworld: Awakening,Fantasy,58.401204,12,160112671,88,6.1,1862
The Hangover Part II,Comedy,58.040149,11,254455986,102,6.2,3739
Superman Returns,Adventure,57.925623,6,391081192,154,5.4,1400
The 5th Wave,Adventure,57.889964,16,109906372,112,5.6,1945
The Book Thief,Drama,57.84156,13,76586316,131,7.4,1486
Sherlock Holmes,Action,57.834787,9,524028679,128,7,5766
Creed,Drama,57.773583,15,173567581,133,7.3,1915
The Terminal,Comedy,57.753914,4,219417255,128,7,1910
Cast Away,Adventure,57.739713,0,429632142,143,7.5,3218
Die Hard 2,Action,57.69847,90,240031094,124,6.6,1896
Dredd,Action,57.673932,12,41037742,95,6.6,1940
The Big Short,Comedy,57.518472,15,133346506,130,7.3,2607
Moulin Rouge!,Drama,57.374341,1,179213434,127,7.4,1300
Zombieland,Comedy,57.300674,9,102391382,88,7.2,3550
There's Something About Mary,Romance,57.110486,98,369884651,119,6.5,1590
Jack Reacher,Crime,56.868399,12,218340595,130,6.3,2998
Lara Croft Tomb Raider: The Cradle of Life,Action,56.811056,3,156505388,117,5.5,1418
Dirty Grandpa,Comedy,56.805781,16,94073028,102,5.7,1406
Oldboy,Drama,56.76349,3,14980005,120,8,1945
Hancock,Fantasy,56.758411,8,624029371,92,6.2,2961
Kung Fu Panda 3,Action,56.747978,16,521170825,95,6.7,1603
Pacific Rim,Action,56.523205,13,407602906,131,6.7,4794
The Truman Show,Comedy,56.488027,98,264118201,103,7.8,4537
Eternal Sunshine of the Spotless Mind,Science Fiction,56.481487,4,72258126,108,7.9,3652
Ouija,Horror,56.30466,14,103590271,89,4.9,983
Alice Through the Looking Glass,Fantasy,56.268916,16,299370084,113,6.5,1725
Hotel Transylvania,Animation,56.257411,12,358375603,91,6.8,2566
Gods of Egypt,Fantasy,56.257249,16,150680864,127,5.3,1277
E.T. the Extra-Terrestrial,Science Fiction,56.105798,82,792910554,115,7.3,3269
The World's End,Comedy,55.964605,13,46089287,109,6.7,1778
9,Action,55.806402,9,48428063,79,6.6,1262
Lilo & Stitch,Animation,55.659988,2,145771527,85,7.1,1314
Dead Poets Society,Drama,55.458584,89,235860116,129,8.1,2705
Sicario,Action,55.424027,15,84025816,121,7.2,2416
Contact,Drama,55.249434,97,171120329,150,7.2,1308
The Notebook,Romance,55.109138,4,115603229,123,7.7,3067
Mission: Impossible II,Adventure,54.931334,0,546388105,123,5.9,1928
The Fugitive,Adventure,54.884297,93,368875760,130,7.2,1220
Need for Speed,Action,54.81489,14,203277636,130,6.1,1520
10 Things I Hate About You,Comedy,54.550275,99,53478166,97,7.3,1701
The Purge,Science Fiction,54.403033,13,89328627,86,6,2428
Die Another Day,Adventure,54.159392,2,431971116,133,5.8,1092
The King's Speech,Drama,54.053576,10,414211549,118,7.6,2752
Star Wars: Episode I - The Phantom Menace,Adventure,54.035265,99,924317558,136,6.3,4432
The Chronicles of Narnia: Prince Caspian,Adventure,53.978602,8,419651413,150,6.3,1630
Charlie and the Chocolate Factory,Adventure,53.905592,5,474968763,115,6.7,3624
The Giver,Drama,53.811461,14,66980456,94,6.4,1798
The Expendables 2,Action,53.732892,12,312573423,103,6.1,2896
The Purge: Election Year,Action,53.727146,16,118587880,105,6.1,1306
10 Cloverfield Lane,Thriller,53.698683,16,108286421,103,6.8,2468
Her,Romance,53.682367,13,47351251,126,7.9,4097
Steve Jobs,Drama,53.670525,15,34441873,122,6.8,1573
No Country for Old Men,Crime,53.645267,7,171600000,122,7.7,3003
Snatch,Thriller,53.595686,0,83557872,103,7.7,2912
The Bourne Supremacy,Action,53.213931,4,288500217,108,7.2,2825
Me Before You,Drama,53.161905,16,207945075,110,7.6,2562
The Intern,Comedy,53.114573,15,194564672,121,7.1,1881
Journey to the Center of the Earth,Action,53.090422,8,101702060,93,5.8,1309
Panic Room,Crime,53.043124,2,196397415,111,6.5,1267
Hansel & Gretel: Witch Hunters,Fantasy,53.02787,13,224803475,88,5.7,3239
Gone in Sixty Seconds,Action,52.995628,0,237202299,118,6.1,1485
Blood Diamond,Drama,52.792678,6,170877916,143,7.3,2281
Captain Phillips,Action,52.786917,13,95000000,134,7.6,2454
Groundhog Day,Romance,52.744331,93,70906973,101,7.4,2301
The Thing,Horror,52.731379,82,19629760,109,7.8,1588
The Last Witch Hunter,Fantasy,52.612025,15,146936910,106,5.7,1316
17 Again,Comedy,52.571674,9,136267476,102,6.1,1350
127 Hours,Adventure,52.464877,10,35692920,94,7,2606
Close Encounters of the Third Kind,Science Fiction,52.456505,77,303788635,135,7.2,1098
Mortdecai,Comedy,52.417529,15,30418560,106,5.4,1055
22 Jump Street,Crime,52.380982,14,188441614,112,7,3319
